previous_date,current_date,threshold_95,actual_return,breach_95,threshold_99,breach_99
2021-09-17,2021-09-20,-0.005091774571532139,-0.007197382769901894,True,-0.009358864092099602,False
2021-09-20,2021-09-21,-0.005717488821183878,0.000512595196250798,False,-0.010392353803728016,False
2021-09-21,2021-09-22,-0.005546864412031134,0.0004391422088851904,False,-0.010082219532735215,False
2021-09-22,2021-09-23,-0.005380572925484802,0.005560026336966839,False,-0.00977996096839236,False
2021-09-23,2021-09-24,-0.005643572528493102,-0.004656238632229859,False,-0.010258000368237888,False
2021-09-24,2021-09-27,-0.005761120214414553,0.002265916234193366,False,-0.010471660102276908,False
2021-09-27,2021-09-28,-0.0055913919336045585,-0.01276254375729291,True,-0.010277178704029114,True
2021-09-28,2021-09-29,-0.007381032225181951,-0.007239417891704125,False,-0.014054824984031147,False
2021-09-29,2021-09-30,-0.007685768696117798,0.002306719249944189,False,-0.014635098533121232,False
2021-09-30,2021-10-01,-0.007504985001854373,0.0075723830734966135,False,-0.014290853567739525,False
2021-10-01,2021-10-04,-0.007845071930392761,0.002210433244915988,False,-0.014938440804068915,False
2021-10-04,2021-10-05,-0.0076540992516488165,0.002793706807822316,False,-0.014574794162977115,False
2021-10-05,2021-10-06,-0.0074993775152061605,-0.005205278592375406,False,-0.01428017589542534,False
2021-10-06,2021-10-07,-0.007545186872984718,0.004790330901319084,False,-0.014367405226847563,False
2021-10-07,2021-10-08,-0.007546894863691385,-0.0002933841865923048,False,-0.014370657551146412,False
2021-10-08,2021-10-12,-0.007236677282971471,-0.0018341892883345645,False,-0.013934549079146147,False
2021-10-12,2021-10-13,-0.007051294573376349,0.0029400955531053707,False,-0.01357758629577637,False
2021-10-13,2021-10-14,-0.006928587837069362,0.0028581898131183614,False,-0.013341308930826712,False
2021-10-14,2021-10-15,-0.006806113048410294,0.0052616194095291835,False,-0.013105478191553083,False
2021-10-15,2021-10-18,-0.00689958168029314,-0.002180866530968273,False,-0.013285456265384967,False
